id,title,artist,genre,mood,popularity,energy,tempo_bpm,valence,danceability,acousticness,liveness,instrumentalness,speechiness
7833,Posso Clamar,Eyshila,brazil,focused,44,0.556,131.968,0.409,0.509,0.576,0.901,2.8e-05,0.0297
7834,Paulinha,Armandinho,brazil,happy,44,0.56,124.273,0.714,0.806,0.564,0.191,1.1e-05,0.0312
7835,Na Fé Firmão,Racionais MC's,brazil,energetic,45,0.765,90.014,0.948,0.873,0.557,0.0592,0.0,0.437
7836,Lenha,Zeca Baleiro,brazil,moody,44,0.673,81.063,0.333,0.526,0.33,0.0937,2.7e-05,0.0358
7837,"Voar, flutuar",Marcelo Falcão,brazil,happy,44,0.784,92.026,0.377,0.597,0.0272,0.13,0.000405,0.0275
7838,Homem não chora,Frejat,brazil,angry,45,0.838,133.437,0.343,0.539,0.0831,0.276,0.000227,0.0525
7839,Segredos,Frejat,brazil,happy,45,0.731,127.582,0.579,0.581,0.192,0.405,0.0,0.0289
7840,Favela Vive 4,ADL,brazil,relaxed,44,0.498,76.093,0.367,0.498,0.42,0.101,0.0,0.424
7841,Acordar Cedo,Armandinho,brazil,focused,43,0.628,82.012,0.382,0.599,0.52,0.13,1e-06,0.0282
7842,No Seu Lugar - Ao Vivo,Kid Abelha,brazil,energetic,45,0.754,132.975,0.629,0.619,0.106,0.703,6.8e-05,0.0303
7843,Cantem no Caminho - Ao Vivo,Diante do Trono,brazil,moody,44,0.605,141.779,0.229,0.401,0.0561,0.521,7.5e-05,0.0331
7844,Naticongo - Ao Vivo,Natiruts,brazil,happy,43,0.871,85.811,0.558,0.469,0.172,0.936,0.0,0.04
7845,Primeira Essência (Jardim Particular),Banda Giom,brazil,moody,44,0.589,148.189,0.204,0.431,0.562,0.354,0.0,0.0297
7846,Um Milhão de Anos - Ao Vivo,Theo Rubia,brazil,moody,44,0.61,134.08,0.109,0.459,0.0062,0.0763,0.0,0.033
7847,Não Vou Ficar,Tim Maia,brazil,energetic,43,0.783,77.723,0.688,0.563,0.0925,0.0887,0.0,0.0695
7848,Teorema,Legião Urbana,brazil,happy,45,0.926,206.641,0.531,0.299,0.0004,0.0585,0.116,0.0994
7849,Chega Mais Cedo,Dazaranha,brazil,energetic,43,0.823,171.066,0.967,0.639,0.0752,0.248,0.0,0.1
7850,Recomeçar,Aline Barros,brazil,moody,43,0.6,192.297,0.292,0.431,0.485,0.106,0.0,0.065
7851,Evidências - Ao Vivo,Maneva,brazil,relaxed,44,0.4,100.032,0.572,0.848,0.26,0.138,0.0,0.169
7852,Velhas Fotos,Tequila Baby,brazil,energetic,43,0.817,125.033,0.795,0.603,0.0,0.107,0.0115,0.0299
7853,Refrigera Minhalma - Ao Vivo,Colo de Deus,brazil,angry,44,0.753,133.145,0.26,0.328,0.489,0.371,0.0,0.0501
7854,Redenção,Fresno,brazil,energetic,44,0.945,140.015,0.729,0.61,0.084,0.0713,3.5e-05,0.0596
7855,Homenzinho Torto,Aline Barros,brazil,happy,44,0.636,110.039,0.933,0.611,0.182,0.125,0.0,0.0853
7856,Ouvir o Teu Falar - Ao Vivo,Discopraise,brazil,angry,44,0.766,139.581,0.198,0.32,0.0317,0.309,0.0,0.0403
7857,Seguirei,Rose Nascimento,brazil,moody,44,0.576,124.249,0.309,0.604,0.527,0.0897,2.8e-05,0.0364
7858,A Arte do Insulto,Matanza,brazil,energetic,44,0.96,178.374,0.835,0.295,0.0001,0.416,0.0,0.105
7859,Aguenta,Cristina Mel,brazil,moody,44,0.614,127.393,0.191,0.427,0.573,0.183,0.0,0.0325
7860,Casino Boulevard - Ao Vivo,Rosa de Saron,brazil,moody,43,0.625,136.017,0.215,0.413,0.497,0.38,0.0,0.0283
7861,Dia Quente,Rodolfo Abrantes,brazil,relaxed,45,0.392,143.924,0.367,0.618,0.818,0.107,0.0,0.0288
7862,Sou Eu,Fabiana Anastácio,brazil,energetic,44,0.78,127.946,0.901,0.738,0.479,0.127,0.0,0.0329
7863,Perfeito Amor,Gabriel Brito,brazil,sad,44,0.499,150.129,0.142,0.445,0.433,0.0902,0.000818,0.0266
7864,Incomparável Amor - Acústico,Gabriel Brito,brazil,melancholic,44,0.206,125.89,0.276,0.494,0.822,0.236,3e-06,0.0323
7865,Ai Papi,Liu,brazil,happy,62,0.619,125.983,0.886,0.753,0.0065,0.282,0.611,0.0572
7866,Uma Noite a Toa,Haikaiss,brazil,energetic,44,0.7,132.022,0.661,0.76,0.211,0.107,0.0,0.112
7867,Enquanto Acaba,Don L,brazil,happy,44,0.633,121.485,0.853,0.81,0.0404,0.224,0.304,0.0812
7868,Segunda-Feira,Esteban Tavares,brazil,happy,44,0.739,126.903,0.518,0.533,0.0011,0.094,0.0,0.0341
7869,Ninguém Gosta de Se Sentir Só,Tim Maia,brazil,energetic,43,0.719,113.877,0.777,0.777,0.355,0.107,0.0,0.0391
7870,Nuvens,Tim Maia,brazil,energetic,43,0.779,112.548,0.769,0.535,0.068,0.16,0.00196,0.0522
7871,Amor Maior,Jota Quest,brazil,melancholic,45,0.394,139.952,0.296,0.614,0.307,0.128,0.0,0.0447
7872,Indigo Plateau,Yung Buda,brazil,focused,45,0.637,129.97,0.357,0.739,0.206,0.102,0.00312,0.0296
7873,Meu Pai,Missionário Shalom,brazil,sad,43,0.118,66.954,0.195,0.299,0.96,0.946,0.0,0.0349
7874,Tempos Modernos - Estúdio,Jota Quest,brazil,energetic,45,0.785,123.029,0.893,0.706,0.0001,0.236,0.0506,0.0385
7875,Desci A Ladeira - Ao Vivo,Projota,brazil,energetic,43,0.946,158.005,0.66,0.566,0.249,0.914,0.0,0.127
7876,Infinito,Kemuel,brazil,melancholic,45,0.488,140.018,0.216,0.402,0.0061,0.575,1e-06,0.0379
7877,Cruz de tecido - Ao vivo,O Rappa,brazil,happy,43,0.793,98.582,0.429,0.506,0.498,0.947,3.2e-05,0.154
7878,1 X 0 Eu,Dibob,brazil,happy,43,0.851,116.964,0.515,0.559,0.001,0.228,0.0,0.0328
7879,Deixa a Luz Baixa,Major RD,brazil,focused,44,0.638,130.022,0.488,0.745,0.44,0.229,0.000109,0.284
7880,Viajando (O Diabo É Careta),Ventania,brazil,chill,43,0.418,96.565,0.603,0.708,0.778,0.112,0.0,0.0472
7881,De Volta À Cena,Racionais MC's,brazil,angry,44,0.752,158.133,0.32,0.794,0.567,0.479,0.0,0.853
7882,Dama Tereza,Instituto,brazil,happy,43,0.586,170.212,0.85,0.721,0.281,0.169,0.0,0.332
7883,Do Seu Lado - Ao Vivo,Jota Quest,brazil,energetic,45,0.922,142.05,0.76,0.584,0.0216,0.963,0.0015,0.0422
7884,Vem Ver (Ao Vivo),Maneva,brazil,chill,44,0.366,135.842,0.677,0.624,0.643,0.684,5.4e-05,0.037
7885,pânico de nada,Don L,brazil,energetic,44,0.834,143.353,0.678,0.493,0.18,0.271,0.0328,0.241
7886,Nada por mim - Acústico,Kid Abelha,brazil,relaxed,45,0.471,128.183,0.361,0.516,0.595,0.785,4e-06,0.0299
7887,Saudades Do Tempo - Acústico / Ao Vivo,Maneva,brazil,relaxed,44,0.366,132.889,0.53,0.493,0.788,0.795,0.0454,0.0514
7888,Hydrobalance,Yung Buda,brazil,happy,45,0.705,90.006,0.449,0.751,0.198,0.117,0.0189,0.0442
7889,O Anjo Mais Velho,O Teatro Mágico,brazil,energetic,44,0.816,113.068,0.625,0.628,0.437,0.189,0.000209,0.0396
7890,Todo Amor Que Houver Nessa Vida - Ao Vivo,Cássia Eller,brazil,sad,44,0.452,102.929,0.172,0.516,0.495,0.88,0.0,0.0541
7891,Abra os Meus Olhos,Jozyanne,brazil,focused,44,0.693,139.93,0.352,0.479,0.242,0.922,0.0,0.0442
7892,Se Escute,Síntese,brazil,focused,44,0.678,87.211,0.375,0.638,0.33,0.331,0.0,0.246
7893,Estar Contigo,Walmir Alencar,brazil,melancholic,44,0.217,127.786,0.334,0.593,0.961,0.103,8e-06,0.0319
7894,Malandrinha - Ao Vivo,Edson Gomes,brazil,energetic,44,0.714,108.933,0.949,0.661,0.363,0.405,0.0,0.0528
7895,Há uma Saída,Shirley Carvalhaes,brazil,happy,44,0.768,151.348,0.426,0.604,0.169,0.282,0.0,0.0437
7896,Se Até os Anjos se Prostram,Jhonas Serra,brazil,moody,44,0.637,133.968,0.315,0.453,0.282,0.0752,0.57,0.0336
7897,De Joelhos,Kiara Vitória,brazil,focused,43,0.563,136.052,0.366,0.589,0.65,0.121,0.0,0.0289
7898,A Promessa Está de Pé (Ao Vivo),Samuel Messias,brazil,moody,43,0.528,90.999,0.249,0.388,0.172,0.106,0.0,0.0335
7899,Afinar as Rezas,Dazaranha,brazil,happy,43,0.796,105.075,0.577,0.632,0.104,0.106,0.0,0.0349
7900,Habeas Corpus,Um Barril de Rap,brazil,relaxed,44,0.383,119.994,0.442,0.873,0.565,0.519,0.0,0.428
7901,Remédios Demais,Matanza,brazil,happy,43,0.991,181.231,0.433,0.359,0.0008,0.0837,2.2e-05,0.121
7902,O Jogo Virou,Strike,brazil,energetic,44,0.906,98.002,0.655,0.73,0.161,0.0954,0.0,0.111
7903,Que Se Abram Os Céus,André Valadão,brazil,melancholic,44,0.427,128.041,0.223,0.608,0.726,0.0762,0.0,0.0289
7904,Renovo,Sarah Farias,brazil,melancholic,44,0.403,140.122,0.318,0.495,0.124,0.177,0.0,0.0299
7905,Tempestade E Sol - Ao Vivo,Catedral,brazil,energetic,43,0.832,135.911,0.612,0.509,0.0837,0.976,3e-06,0.265
7906,Enquanto ela não chegar,Barão Vermelho,brazil,angry,44,0.786,184.786,0.251,0.436,0.0684,0.636,6e-06,0.0447
7907,Cidadão,Zé Ramalho,brazil,energetic,43,0.762,113.881,0.707,0.488,0.193,0.202,0.0,0.11
7908,Senhor Te Quero,Ministério Vineyard,brazil,focused,44,0.676,130.834,0.513,0.507,0.677,0.677,1.3e-05,0.0326
7909,Mais Uma Vez - Remastered 2003,Renato Russo,brazil,happy,43,0.704,100.765,0.527,0.45,0.139,0.122,0.0,0.031
7910,Eu Vou Crer em Ti,Frei Gilson,brazil,angry,44,0.862,135.978,0.233,0.511,0.0768,0.697,1.9e-05,0.0443
7911,Deus dos Deuses,Lauriete,brazil,happy,44,0.75,149.673,0.487,0.354,0.364,0.0875,0.0,0.0506
7912,In A Club,VOLAC,brazil,energetic,55,0.861,123.025,0.9,0.806,0.0321,0.155,0.696,0.0491
7913,Sussurros na Fumaça,Sain,brazil,focused,43,0.656,137.201,0.432,0.521,0.699,0.224,0.0026,0.245
7914,Olhares,Rap Box,brazil,happy,45,0.782,92.089,0.565,0.642,0.309,0.087,0.0,0.0921
7915,Guerreiros Cósmicos,Thegust Mc's,brazil,focused,44,0.655,97.942,0.522,0.762,0.385,0.109,3e-06,0.268
7916,Axé,Dfideliz,brazil,energetic,45,0.734,85.527,0.886,0.727,0.0858,0.38,0.0,0.373
7917,Jamais Serão,Start Rap,brazil,focused,43,0.572,88.848,0.486,0.538,0.596,0.0728,0.0,0.315
7918,Bem Pra Mim,Altamira,brazil,relaxed,45,0.379,113.995,0.41,0.737,0.184,0.081,0.0,0.0713
7919,Veneza,Duzz,brazil,relaxed,43,0.463,109.949,0.531,0.638,0.69,0.0917,0.0,0.404
7920,Milagres - Ao Vivo,Juliano Son,brazil,moody,43,0.656,143.864,0.0691,0.265,0.0096,0.27,0.000277,0.036
7921,R.U.A,Febem,brazil,focused,44,0.646,92.041,0.515,0.922,0.0179,0.125,0.0,0.161
7922,País da Fome: Homens Animais,Sabotage,brazil,energetic,45,0.748,82.834,0.833,0.649,0.661,0.172,0.0,0.313
7923,Semente Nativa,Natiruts,brazil,happy,43,0.596,150.221,0.649,0.69,0.0123,0.0979,0.0,0.0845
7924,Kekw,Yung Buda,brazil,happy,44,0.932,84.508,0.446,0.773,0.429,0.0708,0.00159,0.299
7925,Liberdade Perpétua,Murica,brazil,melancholic,44,0.434,90.648,0.312,0.663,0.787,0.136,0.0,0.358
7926,Deixo Você Ir,Onze:20,brazil,happy,43,0.582,139.91,0.611,0.384,0.0264,0.494,0.0,0.0925
7927,Vagabundo Também Ama,Oriente,brazil,energetic,44,0.799,89.023,0.968,0.768,0.223,0.311,0.0,0.281
7928,Me Lembro - Acústico,Kemuel,brazil,melancholic,44,0.299,78.769,0.233,0.452,0.794,0.046,0.0,0.0407
7929,Visão Ampla,BK,brazil,energetic,44,0.781,86.857,0.642,0.694,0.192,0.12,2.8e-05,0.364
7930,17 MINA,Flora Matos,brazil,energetic,45,0.727,74.967,0.794,0.709,0.41,0.105,0.00554,0.211
7931,Julius,BK,brazil,happy,44,0.661,129.794,0.658,0.759,0.201,0.137,0.0,0.363
7932,Exagerado - Ao Vivo,Leoni,brazil,happy,44,0.735,146.185,0.583,0.302,0.746,0.892,0.0,0.116
7933,Deus Escrevendo,Samuel Mariano,brazil,moody,43,0.669,133.948,0.335,0.619,0.625,0.157,4e-06,0.0369
7934,Uma carta,Ls Jack,brazil,energetic,44,0.725,170.125,0.734,0.467,0.167,0.446,0.0,0.0356
7935,Palavra de Deus,Deise do Vale,brazil,moody,44,0.666,138.003,0.125,0.509,0.625,0.117,0.0,0.0411
7936,Sinta,Big Up,brazil,focused,44,0.633,131.985,0.434,0.862,0.0076,0.366,0.000311,0.0753
7937,Batiza-Me - Ao Vivo,Fernandinho,brazil,moody,44,0.588,141.151,0.146,0.462,0.215,0.598,6e-06,0.0296
7938,Vou Te Encontrar,Nando Reis,brazil,melancholic,44,0.486,144.042,0.297,0.595,0.32,0.132,0.0332,0.0266
7939,Saudade de Ti,Eliana Ribeiro,brazil,sad,43,0.449,129.764,0.179,0.558,0.2,0.0787,3e-06,0.0273
7940,"Vem, Eu Mostrarei",Karen Keldani,brazil,sad,44,0.217,69.779,0.163,0.252,0.883,0.121,0.0,0.0304
7941,Paciência,Padre Fábio De Melo,brazil,sad,43,0.318,112.072,0.188,0.563,0.641,0.0952,0.0,0.0277
7942,Tá Tudo Bem - Acústico,Gabriel Elias,brazil,melancholic,43,0.39,119.981,0.275,0.712,0.607,0.144,1.5e-05,0.0314
7943,Utopia,Padre Zezinho scj,brazil,chill,44,0.333,84.564,0.699,0.647,0.926,0.268,0.306,0.0345
7944,Perdido de Amor - Ao Vivo,Edson Gomes,brazil,happy,43,0.611,96.338,0.863,0.673,0.623,0.854,0.000161,0.0314
7945,Eu Digo Sim,Matheus Balo,brazil,relaxed,43,0.476,139.684,0.452,0.53,0.285,0.106,5e-06,0.0332
7946,Desejos do Mar,Armandinho,brazil,happy,43,0.63,141.934,0.927,0.603,0.0034,0.139,0.0,0.0323
7947,Casa No Campo - Remastered 2021,Elis Regina,brazil,sad,44,0.368,119.552,0.16,0.509,0.317,0.281,2e-06,0.0573
7948,Reflexo (feat. Eliana Ribeiro),Toca de Assis,brazil,melancholic,43,0.445,131.986,0.319,0.381,0.609,0.118,0.0,0.0308
7949,Sinta Deus Cuidando de Ti,Régis Danese,brazil,focused,43,0.517,129.942,0.552,0.716,0.209,0.0837,0.0,0.0309
7950,Na Unção de Deus,Elaine de Jesus,brazil,melancholic,44,0.459,76.867,0.224,0.442,0.415,0.105,5e-06,0.0409
7951,Quebrantado Coração,Fernanda Brum,brazil,sad,44,0.351,109.95,0.134,0.63,0.661,0.102,9e-06,0.0368
7952,Pródigo,Casa Worship,brazil,moody,43,0.613,83.17,0.16,0.545,0.111,0.0943,6e-06,0.0273
7953,Na Mesa do Rei,Damares,brazil,moody,43,0.688,145.365,0.316,0.418,0.397,0.165,0.0,0.0472
7954,Tá nas Mãos de Deus,Valesca Mayssa,brazil,focused,43,0.505,126.045,0.454,0.565,0.668,0.153,0.0,0.0301
7955,Não Mais Escravos,Fredy Miller,brazil,moody,43,0.684,73.085,0.135,0.244,0.0188,0.239,0.000585,0.0384
7956,Espírito Santo Repousa / Faço Novas Todas as Coisas,Padre Fábio De Melo,brazil,moody,43,0.576,139.751,0.24,0.276,0.582,0.636,0.0,0.0389
7957,A Fênix,Rosa de Saron,brazil,angry,43,0.86,134.166,0.334,0.492,0.0113,0.204,0.0,0.0524
7958,Kamayatra,Mandragora,brazil,moody,0,0.542,118.988,0.18,0.761,0.0004,0.122,0.854,0.0547
7959,Eu Sou do Mar,Armandinho,brazil,happy,43,0.641,140.06,0.864,0.778,0.0105,0.243,0.0,0.0437
7960,Backstage,Costa Gold,brazil,energetic,44,0.767,100.392,0.843,0.697,0.271,0.902,0.0,0.451
7961,Adrenalina,Xamã,brazil,happy,44,0.539,83.836,0.72,0.62,0.391,0.215,0.0,0.52
7962,Aparte,Kamau,brazil,energetic,43,0.823,94.122,0.625,0.594,0.202,0.443,0.0,0.286
7963,Tô Feliz (Matei o Presidente) 2,Gabriel O Pensador,brazil,moody,43,0.63,103.98,0.289,0.931,0.426,0.0879,0.000856,0.275
7964,Hóstia - Ao vivo,O Rappa,brazil,energetic,42,0.898,96.878,0.81,0.637,0.186,0.975,0.000673,0.106
7965,CRIME,Febem,brazil,relaxed,43,0.383,143.087,0.357,0.85,0.112,0.0824,0.0,0.338
7966,Skin do Kof,Yung Buda,brazil,relaxed,44,0.416,130.105,0.459,0.718,0.0117,0.341,0.0,0.0744
7967,Falo Nada,ConeCrewDiretoria,brazil,energetic,43,0.904,95.016,0.714,0.789,0.153,0.0701,0.0,0.255
7968,Enjoy the Greatness - Club Mix,Mandragora,brazil,angry,0,0.842,119.04,0.131,0.659,0.0001,0.367,0.506,0.0462
7969,Cascavel,Murica,brazil,happy,44,0.531,84.777,0.682,0.6,0.618,0.288,0.0,0.419
7970,O Que Sobra Disso Tudo,BK,brazil,happy,43,0.714,133.029,0.471,0.806,0.143,0.171,2e-06,0.323
7971,Não Há Outro Lugar (Ao Vivo),Central 3,brazil,angry,44,0.73,141.075,0.225,0.403,0.21,0.552,5.4e-05,0.0356
7972,Noite do prazer,Brylho,brazil,happy,43,0.648,112.529,0.743,0.748,0.484,0.11,1.5e-05,0.0278
7973,Suficiente para Mim,Missionário Shalom,brazil,relaxed,43,0.346,100.116,0.36,0.325,0.629,0.107,0.0,0.033
7974,Reza vela - Ao vivo acústico,O Rappa,brazil,happy,42,0.78,89.319,0.388,0.574,0.336,0.787,0.0035,0.0665
7975,Fogo Consumidor - Ao Vivo,Fernandinho,brazil,angry,44,0.759,154.896,0.276,0.425,0.13,0.192,0.0,0.0366
7976,O Teu Amor Me Sustentará,Missionário Shalom,brazil,moody,43,0.518,123.932,0.237,0.512,0.168,0.126,0.0,0.0307
7977,Carta pra Lucas,Major RD,brazil,focused,44,0.585,106.722,0.376,0.475,0.758,0.319,3.4e-05,0.0705
7978,Roots Dance,Chimarruts,brazil,energetic,43,0.778,79.531,0.888,0.828,0.13,0.0359,3.8e-05,0.0681
7979,Temporada das Flores,Leoni,brazil,happy,44,0.561,112.028,0.672,0.712,0.794,0.105,0.0178,0.0263
7980,És o Sentido,Suely Façanha,brazil,melancholic,43,0.366,125.962,0.289,0.656,0.578,0.27,4e-06,0.0303
7981,De Malas Prontas,Rodolfo Abrantes,brazil,melancholic,44,0.489,79.974,0.302,0.59,0.124,0.0926,0.0269,0.0259
7982,Rei do Meu Coração,Gabi Sampaio,brazil,moody,43,0.645,140.402,0.198,0.337,0.277,0.061,0.0,0.0351
7983,Não Pare Agora,Cassiane,brazil,moody,43,0.534,138.119,0.168,0.521,0.436,0.129,0.0,0.04
7984,Colo de Mãe - Ao Vivo,Colo de Deus,brazil,focused,43,0.642,136.036,0.497,0.46,0.718,0.395,0.0,0.0781
7985,Rebelde Sem Causa - Acústico,Ultraje a Rigor,brazil,energetic,42,0.911,173.135,0.669,0.457,0.14,0.711,0.000228,0.0782
7986,Soube que me Amava (Supe que me Amabas),Aline Barros,brazil,melancholic,43,0.481,127.494,0.208,0.446,0.491,0.119,0.0,0.0279
7987,Além do Rio Azul,Voz da Verdade,brazil,melancholic,43,0.445,81.2,0.32,0.337,0.645,0.0839,0.0,0.0289
7988,Vou Seguir,Cassiane,brazil,relaxed,43,0.396,140.071,0.436,0.509,0.542,0.127,1e-06,0.0335
7989,Nenhuma condenação há,Armando Filho,brazil,moody,43,0.545,105.103,0.215,0.595,0.53,0.229,0.0,0.027
7990,Templo Vivo,Diego Fernandes,brazil,moody,43,0.56,140.11,0.212,0.49,0.229,0.107,0.000123,0.034
7991,Deus é capaz,Padre Fábio De Melo,brazil,melancholic,43,0.257,143.97,0.269,0.537,0.789,0.0918,1e-06,0.0279
7992,Com Ele,Gerson Rufino,brazil,moody,44,0.544,140.005,0.345,0.608,0.498,0.114,1e-06,0.0282
7993,Dia Especial (Ao Vivo),Cidadão Quem,brazil,focused,43,0.583,89.428,0.598,0.375,0.545,0.964,1.7e-05,0.0288
7994,O Papa é Pop,Engenheiros Do Hawaii,brazil,energetic,45,0.729,113.182,0.829,0.595,0.34,0.195,0.0,0.0305
7995,Teu Amanhã Será Melhor que Hoje,Samuel Messias,brazil,focused,43,0.512,80.795,0.494,0.28,0.347,0.108,0.0,0.029
7996,Ando Só - Ao Vivo,Humberto Gessinger,brazil,happy,43,0.938,116.063,0.429,0.514,0.0227,0.929,5.4e-05,0.0604
7997,Deixa Deus Sonhar em Ti - Ao Vivo,Frei Gilson,brazil,sad,43,0.389,76.006,0.173,0.389,0.088,0.762,1.1e-05,0.0268
7998,Até Quando Esperar,Plebe Rude,brazil,energetic,43,0.871,94.095,0.601,0.504,0.0002,0.118,0.00179,0.0436
7999,Você Cresceu,Gabriel Brito,brazil,melancholic,43,0.271,138.015,0.406,0.529,0.89,0.0649,0.00163,0.0283
8000,Amor meu grande amor,Barão Vermelho,brazil,focused,44,0.57,101.889,0.469,0.633,0.219,0.118,1.4e-05,0.0269
8001,Braços do Pai / Em Teus braços - Live 2020,Gabriela Rocha,brazil,sad,43,0.489,133.42,0.125,0.279,0.0864,0.101,6.5e-05,0.0383
8002,Hipogrifo,Sagaz,brazil,relaxed,43,0.45,84.312,0.564,0.589,0.621,0.0951,0.0,0.438
8003,Compromisso - Ao Vivo,Régis Danese,brazil,melancholic,43,0.379,128.12,0.234,0.482,0.361,0.752,0.0,0.037
8004,Vento No Litoral,Legião Urbana,brazil,sad,44,0.214,120.407,0.0752,0.55,0.662,0.104,0.000229,0.0308
8005,Ponto de Força,Sant,brazil,happy,43,0.709,128.032,0.528,0.779,0.406,0.167,0.0,0.17
8006,Magika,Yung Buda,brazil,sad,44,0.264,132.04,0.197,0.809,0.614,0.295,0.0442,0.0828
8007,Céu,3030,brazil,focused,43,0.554,80.038,0.425,0.744,0.185,0.193,0.0,0.247
8008,pela boca,Don L,brazil,moody,44,0.673,129.838,0.316,0.569,0.082,0.381,0.0014,0.225
8009,Sol de Paz,Strike,brazil,happy,43,0.583,82.01,0.745,0.645,0.202,0.0856,0.0,0.0288
8010,Cartas e Versos,Frejat,brazil,chill,44,0.467,110.131,0.641,0.73,0.596,0.114,0.0,0.0277
8011,Raízes,3030,brazil,relaxed,44,0.392,83.683,0.387,0.604,0.794,0.102,4.2e-05,0.0652
8012,Marieva,Projota,brazil,happy,42,0.587,85.969,0.604,0.713,0.201,0.108,0.0,0.0368
8013,Cara Esperto,Forfun,brazil,energetic,43,0.805,101.869,0.68,0.499,0.0031,0.12,0.0,0.0614
8014,Mar do Meu Mundo,Maneva,brazil,energetic,43,0.716,90.044,0.658,0.757,0.41,0.328,0.00293,0.0481
8015,Carro Bicho,Major RD,brazil,happy,43,0.765,134.151,0.432,0.776,0.35,0.194,0.0,0.255
8016,The End,Yung Buda,brazil,angry,44,0.873,88.549,0.149,0.444,0.0273,0.298,0.000154,0.32
8017,Seu Amor: YOUnique - Acústico,LUDI,brazil,melancholic,43,0.412,126.431,0.252,0.493,0.829,0.0978,0.0,0.0439
8018,Fiz Esse Som Pra Você - Acústica,Gabriel Elias,brazil,chill,43,0.306,114.034,0.753,0.773,0.778,0.166,0.0,0.0393
8019,Colo de Mãe,Padre Marcelo Rossi,brazil,relaxed,43,0.455,80.012,0.558,0.536,0.0043,0.687,0.000941,0.0286
8020,Cuidas de Mim,Olívia Ferreira,brazil,sad,43,0.312,169.721,0.196,0.234,0.577,0.0954,1e-06,0.0292
8021,Gente Morta Não Conta História,Yung Buda,brazil,moody,44,0.508,159.992,0.0824,0.729,0.0812,0.589,0.115,0.0931
8022,Vou Seguir com Fé,Kleber Lucas,brazil,energetic,43,0.911,112.163,0.785,0.76,0.119,0.611,0.0,0.0456
8023,Tantum Ergo,Irmã Kelly Patrícia,brazil,melancholic,43,0.161,102.972,0.221,0.272,0.884,0.12,2.1e-05,0.0314
8024,N - Ao Vivo,Nando Reis,brazil,melancholic,43,0.31,105.223,0.347,0.489,0.868,0.845,0.0,0.149
8025,Cria Em Mim - Ao Vivo,Fernandinho,brazil,moody,44,0.613,150.077,0.103,0.414,0.0019,0.0896,4.4e-05,0.0341
8026,Identidade,Bruna Karla,brazil,happy,43,0.853,167.915,0.364,0.413,0.188,0.413,0.0,0.0633
8027,Eu Amo Mais Você - Ao Vivo,Catedral,brazil,relaxed,43,0.354,82.198,0.509,0.186,0.133,0.495,0.0,0.0322
8028,O horizonte é logo alí,O Rappa,brazil,energetic,42,0.917,159.968,0.645,0.497,0.0075,0.198,0.000652,0.0843
8029,Meu Mestre,Padre Marcelo Rossi,brazil,relaxed,43,0.451,129.951,0.367,0.52,0.686,0.225,0.0,0.0254
8030,Sete Cidades,Legião Urbana,brazil,focused,44,0.626,78.895,0.594,0.41,0.0055,0.19,0.000106,0.0316
8031,Mil Pedaços,Legião Urbana,brazil,sad,44,0.131,109.176,0.183,0.685,0.651,0.141,0.000536,0.0298
8032,Espera,Rosa de Saron,brazil,happy,43,0.779,139.811,0.373,0.413,0.0178,0.113,0.0,0.0412
8033,Jesus Chorou - Ao Vivo,Racionais MC's,brazil,energetic,44,0.91,84.602,0.653,0.687,0.0957,0.515,0.0,0.321
8034,Relicário,Nando Reis,brazil,focused,44,0.516,83.805,0.397,0.46,0.448,0.209,0.0,0.0276
8035,Polo,Fresno,brazil,energetic,43,0.941,145.135,0.752,0.543,0.0184,0.11,0.0,0.0418
8036,Mesmo Que Mude,Bidê ou Balde,brazil,energetic,43,0.766,142.012,0.709,0.589,0.0112,0.109,0.0,0.0295
8037,Morrer de Amor - Acústico,Jota Quest,brazil,energetic,45,0.782,125.012,0.934,0.74,0.691,0.726,0.000127,0.0286
8038,Oceanos,Gabriel Guedes de Almeida,brazil,sad,43,0.204,120.05,0.188,0.51,0.967,0.0748,0.00681,0.0338
8039,Olha pra Mim,Trazendo a Arca,brazil,moody,43,0.572,129.615,0.234,0.342,0.281,0.792,0.0,0.0348
8040,Pescador de Homens (Ao Vivo),Frei Gilson,brazil,moody,43,0.589,132.973,0.303,0.546,0.657,0.281,1.6e-05,0.0342
8041,Fazendo a Cabeça,Planet Hemp,brazil,happy,42,0.73,116.189,0.537,0.698,0.0079,0.214,8.6e-05,0.094
8042,Eternas Ondas (Ao Vivo),Zé Ramalho,brazil,happy,43,0.715,135.55,0.359,0.471,0.0792,0.787,0.000993,0.0314
8043,Poder Pra Salvar (Mighty to Save),Aline Barros,brazil,happy,43,0.831,149.813,0.382,0.529,0.455,0.808,0.0,0.0511
8044,Deus Cuida de Mim,Padre Fábio De Melo,brazil,melancholic,43,0.369,81.356,0.206,0.23,0.485,0.0828,8.3e-05,0.0345
8045,O Último Bar,Matanza,brazil,energetic,42,0.974,167.934,0.817,0.455,0.0034,0.157,0.0,0.0486
8046,S.O.S.,Armored Dawn,brazil,happy,54,0.971,107.949,0.36,0.541,0.0,0.0837,0.0052,0.088
8047,Matrix,Xamã,brazil,focused,44,0.568,114.937,0.588,0.827,0.153,0.111,0.0,0.444
8048,Eu Não Te Amo,Don L,brazil,focused,43,0.6,100.028,0.405,0.461,0.44,0.219,4e-06,0.097
